rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
97,17400,Real Estate,,90.0,United States,,,Real Estate,United States,,True,U,M,5/11/1932 0:00,Bren,Donald,,4/4/2023 5:01,California,West,1932.0,5.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
97,17400,Fashion & Retail,,83.0,United States,,,Fashion & Retail,United States,,True,U,M,1/22/1940 0:00,Menard,John,,4/4/2023 5:01,Wisconsin,Midwest,1940.0,1.0,22.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
99,17100,Media & Entertainment,,92.0,United States,,,Media & Entertainment,United States,,False,D,M,3/11/1931 0:00,Murdoch,Rupert,,4/4/2023 5:01,New York,Northeast,1931.0,3.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
100,16700,Finance & Investments,,70.0,Switzerland,,,Finance & Investments,Brazil,,False,U,F,1/1/1953 0:00,Safra,Vicky,,4/4/2023 5:01,,,1953.0,1.0,1.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
101,16500,Fashion & Retail,,72.0,Germany,,,Fashion & Retail,Germany,,False,D,M,1/1/1951 0:00,Albrecht,Theo,,4/4/2023 5:01,,,1951.0,1.0,1.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
101,16500,Finance & Investments,,55.0,Czech Republic,,,Finance & Investments,Czech Republic,,False,D,F,7/4/1967 0:00,Kellnerova,Renata,,4/4/2023 5:01,,,1967.0,7.0,4.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
103,16300,Healthcare,,72.0,China,,,Healthcare,Singapore,,True,D,M,1/1/1951 0:00,Li,Xiting,,4/4/2023 5:01,,,1951.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
104,16200,Fashion & Retail,,75.0,Sweden,,,Fashion & Retail,Sweden,,False,D,M,10/4/1947 0:00,Persson,Stefan,,4/4/2023 5:01,,,1947.0,10.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
104,16200,Technology,,67.0,United States,,,Technology,United States,,True,D,M,4/27/1955 0:00,Schmidt,Eric,,4/4/2023 5:01,California,West,1955.0,4.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
106,16000,Finance & Investments,,55.0,Switzerland,,,Finance & Investments,United Kingdom,,True,U,M,3/18/1968 0:00,Platt,Michael,,4/4/2023 5:01,,,1968.0,3.0,18.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
107,15900,Food & Beverage,,67.0,China,,,Food & Beverage,China,,True,D,M,1/19/1956 0:00,Pang,Kang,,4/4/2023 5:01,,,1956.0,1.0,19.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
108,15800,Fashion & Retail,,,Germany,,,Fashion & Retail,Germany,,False,Split Family Fortune,M,,Albrecht Jr.,Karl,,4/4/2023 5:01,,,,,,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
108,15800,Food & Beverage,,83.0,Switzerland,,,Food & Beverage,Brazil,,True,U,M,8/26/1939 0:00,Lemann,Jorge Paulo,,4/4/2023 5:01,,,1939.0,8.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
108,15800,Real Estate,,76.0,Hong Kong,,,Real Estate,Hong Kong,,False,D,M,9/5/1946 0:00,Woo,Peter,,4/4/2023 5:01,,,1946.0,9.0,5.0,,,,,,,,,,,
112,15600,Healthcare,,67.0,India,,,Healthcare,India,,True,E,M,10/1/1955 0:00,Shanghvi,Dilip,,4/4/2023 5:01,,,1955.0,10.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
113,15500,Technology,,45.0,United States,,,Technology,United States,,True,U,M,3/10/1978 0:00,Pera,Robert,,4/4/2023 5:01,California,West,1978.0,3.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
114,15300,Fashion & Retail,,68.0,India,,,Fashion & Retail,India,,True,D,M,1/1/1955 0:00,Damani,Radhakishan,,4/4/2023 5:01,,,1955.0,1.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
115,15200,Automotive,,56.0,China,,,Automotive,China,,True,D,M,1/1/1967 0:00,Huang,Shilin,,4/4/2023 5:01,,,1967.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
116,14900,Diversified,,83.0,Thailand,,,Diversified,Thailand,,False,U,M,4/19/1939 0:00,Chearavanont,Dhanin,,4/4/2023 5:01,,,1939.0,4.0,19.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
116,14900,Fashion & Retail,,81.0,United States,,,Fashion & Retail,United States,,True,U,M,11/13/1941 0:00,Green,David,,4/4/2023 5:01,Oklahoma,South,1941.0,11.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
118,14800,Food & Beverage,,78.0,Thailand,,,Food & Beverage,Thailand,,True,U,M,5/2/1944 0:00,Sirivadhanabhakdi,Charoen,,4/4/2023 5:01,,,1944.0,5.0,2.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
119,14700,Food & Beverage,,68.0,United Kingdom,,,Food & Beverage,Netherlands,,False,D,F,6/30/1954 0:00,de Carvalho-Heineken,Charlene,,4/4/2023 5:01,,,1954.0,6.0,30.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
120,14600,Healthcare,,60.0,China,,,Healthcare,Hong Kong,,True,D,M,5/22/1962 0:00,Xu,Hang,,4/4/2023 5:01,,,1962.0,5.0,22.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
121,14500,Automotive,,59.0,China,,,Automotive,China,,True,D,M,3/1/1964 0:00,Wei,Jianjun,,4/4/2023 5:01,,,1964.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
122,14400,Metals & Mining,,69.0,Uzbekistan,,,Metals & Mining,Russia,,True,U,M,9/9/1953 0:00,Usmanov,Alisher,,4/4/2023 5:01,,,1953.0,9.0,9.0,,,57921286440.0,10.1,104.2,71.6,14.8,31.6,33580650.0,41.377491,64.585262
123,14300,Manufacturing,,95.0,Singapore,,,Manufacturing,Singapore,,True,U,M,6/27/1927 0:00,Goh,Cheng Liang,,4/4/2023 5:01,,,1927.0,6.0,27.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
124,14200,Diversified,,55.0,India,,,Diversified,India,,False,D,M,6/14/1967 0:00,Birla,Kumar,,4/4/2023 5:01,,,1967.0,6.0,14.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
124,14200,Manufacturing,,65.0,Nigeria,,,Manufacturing,Nigeria,,True,U,M,4/10/1957 0:00,Dangote,Aliko,,4/4/2023 5:01,,,1957.0,4.0,10.0,267.51,11.4,448120428859.0,10.2,84.7,54.3,1.5,34.8,200963599.0,9.081999,8.675277
126,14100,Real Estate,,93.0,Hong Kong,,,Real Estate,Hong Kong,,False,U,F,12/2/1929 0:00,Kwong,Siu-hing,,4/4/2023 5:01,,,1929.0,12.0,2.0,,,,,,,,,,,
127,14000,Diversified,,67.0,United Kingdom,,,Diversified,Israel,,False,U,M,10/2/1955 0:00,Ofer,Idan,,4/4/2023 5:01,,,1955.0,10.0,2.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
128,13900,Healthcare,,57.0,China,,,Healthcare,China,,True,U,M,9/1/1965 0:00,Chen,Bang,,4/4/2023 5:01,,,1965.0,9.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
128,13900,Gambling & Casinos,,94.0,Hong Kong,,,Gambling & Casinos,Hong Kong,,True,U,M,4/1/1929 0:00,Lui,Che Woo,,4/4/2023 5:01,,,1929.0,4.0,1.0,,,,,,,,,,,
130,13700,Logistics,,78.0,United Kingdom,,,Logistics,Cyprus,,True,U,M,2/1/1945 0:00,Fredriksen,John,,4/4/2023 5:01,,,1945.0,2.0,1.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
130,13700,Construction & Engineering,,76.0,United States,,,Construction & Engineering,United States,,True,U,F,3/2/1947 0:00,Hendricks,Diane,,4/4/2023 5:01,Wisconsin,Midwest,1947.0,3.0,2.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
130,13700,Technology,,47.0,United States,,,Technology,United States,,True,U,M,2/24/1976 0:00,Koum,Jan,,4/4/2023 5:01,California,West,1976.0,2.0,24.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133,13300,Sports,,80.0,United States,,,Sports,United States,,True,U,M,10/13/1942 0:00,Jones,Jerry,,4/4/2023 5:01,Texas,South,1942.0,10.0,13.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133,13300,Energy,,80.0,United States,,,Energy,United States,,False,U,M,7/29/1942 0:00,Kaiser,George,,4/4/2023 5:01,Oklahoma,South,1942.0,7.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133,13300,Real Estate,,71.0,Hong Kong,,,Real Estate,Hong Kong,,True,D,M,7/21/1951 0:00,Lau,Joseph,,4/4/2023 5:01,,,1951.0,7.0,21.0,,,,,,,,,,,
136,13200,Automotive,,60.0,China,,,Automotive,China,,True,D,M,12/28/1962 0:00,Lu,Xiangyang,,4/4/2023 5:01,,,1962.0,12.0,28.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
137,13100,Real Estate,,90.0,Australia,,,Real Estate,Australia,,True,U,M,3/3/1933 0:00,Triguboff,Harry,,4/4/2023 5:01,,,1933.0,3.0,3.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
138,12900,Finance & Investments,,64.0,India,,,Finance & Investments,India,,True,D,M,3/15/1959 0:00,Kotak,Uday,,4/4/2023 5:01,,,1959.0,3.0,15.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
138,12900,Sports,,75.0,United States,,,Sports,United States,,True,U,M,7/29/1947 0:00,Kroenke,Stanley,,4/4/2023 5:01,Texas,South,1947.0,7.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
140,12600,Energy,,58.0,United Kingdom,,,Energy,Russia,,True,U,M,4/21/1964 0:00,Fridman,Mikhail,,4/4/2023 5:01,,,1964.0,4.0,21.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
141,12300,Energy,,57.0,Thailand,,,Energy,Thailand,,True,U,M,7/12/1965 0:00,Ratanavadi,Sarath,,4/4/2023 5:01,,,1965.0,7.0,12.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
142,12200,Metals & Mining,,50.0,China,,,Metals & Mining,China,,True,D,M,2/1/1973 0:00,Dang,Yanbao,,4/4/2023 5:01,,,1973.0,2.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
142,12200,Healthcare,,69.0,China,,,Healthcare,China,,True,D,M,10/8/1953 0:00,Jiang,Rensheng,,4/4/2023 5:01,,,1953.0,10.0,8.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
144,12100,Automotive,,72.0,United States,,,Automotive,United States,,True,U,M,7/18/1950 0:00,Khan,Shahid,,4/4/2023 5:01,Florida,South,1950.0,7.0,18.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
145,12000,Technology,,59.0,United States,,,Technology,United States,,False,D,F,11/6/1963 0:00,Powell Jobs,Laurene,,4/4/2023 5:01,California,West,1963.0,11.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
146,11800,Diversified,,99.0,Hong Kong,,,Diversified,Malaysia,,True,U,M,10/6/1923 0:00,Kuok,Robert,,4/4/2023 5:01,,,1923.0,10.0,6.0,,,,,,,,,,,
147,11600,Real Estate,,82.0,United States,,,Real Estate,United States,,True,U,M,5/10/1940 0:00,Ross,Stephen,,4/4/2023 5:01,New York,Northeast,1940.0,5.0,10.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
148,11500,Technology,,38.0,United Arab Emirates,,,Technology,United Arab Emirates,,True,D,M,10/10/1984 0:00,Durov,Pavel,,4/4/2023 5:01,,,1984.0,10.0,10.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
148,11500,Healthcare,,73.0,Germany,,,Healthcare,Germany,,True,D,M,2/16/1950 0:00,Struengmann,Andreas,,4/4/2023 5:01,,,1950.0,2.0,16.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
148,11500,Healthcare,,73.0,Germany,,,Healthcare,Germany,,True,D,M,2/16/1950 0:00,Struengmann,Thomas,,4/4/2023 5:01,,,1950.0,2.0,16.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
151,11400,Food & Beverage,,59.0,China,,,Food & Beverage,China,,True,D,M,1/1/1964 0:00,Liu,Hanyuan,,4/4/2023 5:01,,,1964.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
151,11400,Fashion & Retail,,50.0,United States,,,Fashion & Retail,United States,,True,U,M,7/21/1972 0:00,Rubin,Michael,,4/4/2023 5:01,Pennsylvania,Northeast,1972.0,7.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
153,11300,Finance & Investments,,74.0,United States,,,Finance & Investments,United States,,True,D,M,9/30/1948 0:00,Englander,Israel,,4/4/2023 5:01,New York,Northeast,1948.0,9.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
153,11300,Manufacturing,,69.0,Israel,,,Manufacturing,Russia,,True,U,M,9/8/1953 0:00,Kantor,Viatcheslav,,4/4/2023 5:01,,,1953.0,9.0,8.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
153,11300,Manufacturing,,62.0,Australia,,,Manufacturing,Australia,,False,D,M,4/11/1960 0:00,Pratt,Anthony,,4/4/2023 5:01,,,1960.0,4.0,11.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
153,11300,Finance & Investments,,57.0,Switzerland,,,Finance & Investments,Russia,,True,U,M,5/3/1965 0:00,Prokhorov,Mikhail,,4/4/2023 5:01,,,1965.0,5.0,3.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
157,11100,Fashion & Retail,,88.0,Italy,,,Fashion & Retail,Italy,,True,U,M,7/11/1934 0:00,Armani,Giorgio,,4/4/2023 5:01,,,1934.0,7.0,11.0,110.62,0.6,2001244392042.0,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
157,11100,Fashion & Retail,,72.0,South Africa,,,Fashion & Retail,South Africa,,False,U,M,6/1/1950 0:00,Rupert,Johann,,4/4/2023 5:01,,,1950.0,6.0,1.0,158.93,4.1,351431649241.0,22.4,100.9,63.9,27.5,29.2,58558270.0,-30.559482,22.937506
159,11000,Finance & Investments,,58.0,Hong Kong,,,Finance & Investments,Hong Kong,,True,D,M,1/1/1965 0:00,Gong,Hongjia,,4/4/2023 5:01,,,1965.0,1.0,1.0,,,,,,,,,,,
159,11000,Technology,,51.0,China,,,Technology,China,,True,D,M,1/1/1972 0:00,Zhang,Zhidong,,4/4/2023 5:01,,,1972.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
161,10900,Finance & Investments,,83.0,United States,,,Finance & Investments,United States,,False,E,M,12/28/1939 0:00,Anschutz,Philip,,4/4/2023 5:01,Colorado,West,1939.0,12.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
161,10900,Fashion & Retail,,85.0,United States,,,Fashion & Retail,United States,,True,U,F,6/17/1937 0:00,Love,Judy,,4/4/2023 5:01,Oklahoma,South,1937.0,6.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
161,10900,Fashion & Retail,,67.0,Mexico,,,Fashion & Retail,Mexico,,False,D,M,10/19/1955 0:00,Salinas Pliego,Ricardo,,4/4/2023 5:01,,,1955.0,10.0,19.0,141.54,3.6,1258286717125.0,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
164,10700,Media & Entertainment,,93.0,United States,,,Media & Entertainment,United States,,False,D,M,8/5/1929 0:00,Newhouse,Donald,,4/4/2023 5:01,New York,Northeast,1929.0,8.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
165,10600,Sports,,81.0,United States,,,Sports,United States,,True,U,M,6/5/1941 0:00,Kraft,Robert,,4/4/2023 5:01,Massachusetts,Northeast,1941.0,6.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
165,10600,Food & Beverage,,73.0,Brazil,,,Food & Beverage,Brazil,,True,U,M,1/1/1950 0:00,Telles,Marcel Herrmann,,4/4/2023 5:01,,,1950.0,1.0,1.0,167.4,3.7,1839758040766.0,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
167,10500,Finance & Investments,,57.0,Russia,,,Finance & Investments,Russia,,True,U,M,3/12/1966 0:00,Kerimov & family,Suleiman,,4/4/2023 5:01,,,1966.0,3.0,12.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
167,10500,Fashion & Retail,,39.0,China,,,Fashion & Retail,China,,True,U,M,1/1/1984 0:00,Xu,Sky,,4/4/2023 5:01,,,1984.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
167,10500,Finance & Investments,,45.0,United Arab Emirates,,,Finance & Investments,Canada,,True,D,M,9/10/1977 0:00,Zhao,Changpeng,,4/4/2023 5:01,,,1977.0,9.0,10.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
170,10300,Finance & Investments,,70.0,United States,,,Finance & Investments,United States,,True,U,M,11/29/1952 0:00,Beal,Andrew,,4/4/2023 5:01,Texas,South,1952.0,11.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
171,10200,Technology,,43.0,Australia,,,Technology,Australia,,True,D,M,11/17/1979 0:00,Cannon-Brookes,Mike,,4/4/2023 5:01,,,1979.0,11.0,17.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
171,10200,Healthcare,,60.0,United States,,,Healthcare,United States,,False,D,M,8/19/1962 0:00,Cook,Carl,,4/4/2023 5:01,Indiana,Midwest,1962.0,8.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
171,10200,Technology,,82.0,United States,,,Technology,United States,,True,D,M,9/21/1940 0:00,Duffield,David,,4/4/2023 5:01,Nevada,West,1940.0,9.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
171,10200,Energy,,64.0,United States,,,Energy,United States,,True,U,M,3/5/1959 0:00,Hildebrand,Jeffery,,4/4/2023 5:01,Texas,South,1959.0,3.0,5.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
171,10200,Manufacturing,,74.0,Russia,,,Manufacturing,Russia,,True,U,M,10/13/1948 0:00,Rashnikov,Viktor,,4/4/2023 5:01,,,1948.0,10.0,13.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
171,10200,Technology,,41.0,Singapore,,,Technology,Brazil,,True,D,M,3/19/1982 0:00,Saverin,Eduardo,,4/4/2023 5:01,,,1982.0,3.0,19.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
171,10200,Automotive,,58.0,Germany,,,Automotive,Germany,,False,U,M,10/19/1964 0:00,Schaeffler,Georg,,4/4/2023 5:01,,,1964.0,10.0,19.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
171,10200,Fashion & Retail,,74.0,United States,,,Fashion & Retail,United States,,False,U,F,2/8/1949 0:00,Walton,Christy,,4/4/2023 5:01,Wyoming,South,1949.0,2.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
179,10100,Technology,,43.0,Australia,,,Technology,Australia,,True,D,M,12/17/1979 0:00,Farquhar,Scott,,4/4/2023 5:01,,,1979.0,12.0,17.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
179,10100,Diversified,,81.0,Malaysia,,,Diversified,Malaysia,,False,D,M,8/12/1941 0:00,Quek,Leng Chan,,4/4/2023 5:01,,,1941.0,8.0,12.0,121.46,0.7,364701517788.0,45.1,105.3,76.0,12.0,38.7,32447385.0,4.210484,101.975766
179,10100,Real Estate,,59.0,China,,,Real Estate,China,,True,D,F,1/1/1964 0:00,Wu,Yajun,,4/4/2023 5:01,,,1964.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
182,10000,Energy,,85.0,United States,,,Energy,United States,,True,U,M,3/8/1938 0:00,Stephens,Autry,,4/4/2023 5:01,Texas,South,1938.0,3.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
183,9900,Service,,74.0,China,,,Service,China,,True,D,M,6/1/1948 0:00,Liu,Yongxing,,4/4/2023 5:01,,,1948.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
184,9800,Diversified,,74.0,United Arab Emirates,,,Diversified,Cyprus,,True,Split Family Fortune,M,1/10/1949 0:00,Adani,Vinod,,4/4/2023 5:01,,,1949.0,1.0,10.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
184,9800,Fashion & Retail,,80.0,Switzerland,,,Fashion & Retail,France,,False,U,M,1/29/1943 0:00,Puech,Nicolas,,4/4/2023 5:01,,,1943.0,1.0,29.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
184,9800,Logistics,,51.0,France,,,Logistics,France,,False,Split Family Fortune,M,8/10/1971 0:00,Saadé,Jacques,,4/4/2023 5:01,,,1971.0,8.0,10.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
184,9800,Logistics,,53.0,France,,,Logistics,France,,False,Split Family Fortune,M,3/3/1970 0:00,Saadé,Rodolphe,,4/4/2023 5:01,,,1970.0,3.0,3.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
184,9800,Logistics,,55.0,France,,,Logistics,France,,False,Split Family Fortune,F,2/1/1968 0:00,Saadé Zeenny,Tanya,,4/4/2023 5:01,,,1968.0,2.0,1.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
184,9800,Finance & Investments,,75.0,Sweden,,,Finance & Investments,Sweden,,True,D,M,5/15/1947 0:00,Schorling,Melker,,4/4/2023 5:01,,,1947.0,5.0,15.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
190,9700,Manufacturing,,63.0,Russia,,,Manufacturing,Russia,,True,U,M,3/24/1960 0:00,Guriev & family,Andrei,,4/4/2023 5:01,,,1960.0,3.0,24.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
190,9700,Finance & Investments,,59.0,South Korea,,,Finance & Investments,United States,,True,U,M,10/1/1963 0:00,Kim,Michael,,4/4/2023 5:01,,,1963.0,10.0,1.0,115.16,0.4,2029000000000.0,94.3,98.1,82.6,15.6,33.2,51709098.0,35.907757,127.766922
190,9700,Technology,,53.0,China,,,Technology,China,,True,D,M,12/16/1969 0:00,Lei,Jun,,4/4/2023 5:01,,,1969.0,12.0,16.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
190,9700,Manufacturing,,76.0,Germany,,,Manufacturing,Germany,,False,U,M,8/15/1946 0:00,Loh,Friedhelm,,4/4/2023 5:01,,,1946.0,8.0,15.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
190,9700,Healthcare,,64.0,China,,,Healthcare,China,,True,D,M,9/1/1958 0:00,Sun,Piaoyang,,4/4/2023 5:01,,,1958.0,9.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
195,9600,Technology,,70.0,United States,,,Technology,United States,,False,N,M,7/25/1952 0:00,Cohen,Rick,,4/4/2023 5:01,New Hampshire,Northeast,1952.0,7.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
195,9600,Energy,,70.0,China,,,Energy,China,,True,D,M,9/1/1952 0:00,Jin,Baofang,,4/4/2023 5:01,,,1952.0,9.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
